11635
<Corpus Saint-Jean (Dominique Labbé et Jacques Savoy 2017) - Huitième extrait>,<>,<>
et,et,82
",",",",p
en,en,81
effet,effet,21
",",",",p
tels,tel,52
de,de,81
ces,ce,74
visages,visage,21
",",",",p
mangés,mangé,31
par,par,81
des,de,81
des,le,71
yeux,oeil,21
immenses,immense,30
",",",",p
par,par,81
des,de,81
des,le,71
yeux,oeil,21
fous,fou,30
;,;,p
tels,tel,52
de,de,81
ces,ce,74
corps,corps,21
grandis,grandi,31
outre-mesure,outre-mesure,60
ou,ou,82
déformés,déformé,31
comme,comme,83
au,à,81
au,le,71
travers,travers,21
d',de,81
une,un,71
carafe,carafe,22
",",",",p
évoquaient,évoquer,18
dans,dans,81
la,le,71
mémoire,mémoire,22
de,de,81
des,de,81
des,le,71
Esseintes,Esseintes,20
des,de,81
des,le,71
souvenirs,souvenir,21
de,de,81
fièvre,fièvre,22
typhoïde,typhoïde,22
",",",",p
des,de,81
des,le,71
souvenirs,souvenir,21
restés,resté,31
quand,quand,83
même,même,60
des,de,81
des,le,71
nuits,nuit,22
brûlantes,brûlant,30
",",",",p
des,de,81
des,le,71
affreuses,affreux,30
visions,vision,22
de,de,81
son,son,73
enfance,enfance,22
/.,/.,P
pris,pris,31
d',de,81
un,un,71
indéfinissable,indéfinissable,30
malaise,malaise,21
",",",",p
devant,devant,81
ces,ce,74
dessins,dessin,21
",",",",p
comme,comme,83
devant,devant,81
certains,certain,75
proverbes,proverbe,21
de,de,81
Goya,Goya,20
qu',que,52
ils,ils,51
rappelaient,rappeler,18
;,;,p
comme,comme,83
au,à,81
au,le,71
sortir,sortir,21
aussi,aussi,60
d',de,81
une,un,71
lecture,lecture,22
d',de,81
Edgar,Edgar,20
Poe,Poe,20
dont,dont,52
Odilon,Odilon,20
Redon,Redon,20
semblait,sembler,18
avoir,avoir,14
transposé,transposer,12
",",",",p
dans,dans,81
un,un,71
art,art,21
différent,différent,30
",",",",p
les,le,71
mirages,mirage,21
d',de,81
hallucination,hallucination,22
et,et,82
les,le,71
effets,effet,21
de,de,81
peur,peur,22
",",",",p
il,il,51
se,se,51
frottait,frotter,18
les,le,71
yeux,oeil,21
et,et,82
contemplait,contempler,18
une,un,71
rayonnante,rayonnant,30
figure,figure,22
qui,qui,52
",",",",p
du,de,81
du,le,71
milieu,milieu,21
de,de,81
ces,ce,74
planches,planche,22
agitées,agité,31
",",",",p
se,se,51
levait,lever,18
sereine,serein,30
et,et,82
calme,calme,30
",",",",p
une,un,71
figure,figure,22
de,de,81
la,le,71
mélancolie,mélancolie,22
",",",",p
assise,assis,31
",",",",p
devant,devant,81
le,le,71
disque,disque,21
d',de,81
un,un,71
soleil,soleil,21
",",",",p
sur,sur,81
des,de,81
des,le,71
rochers,rocher,21
",",",",p
dans,dans,81
une,un,71
pose,pose,22
accablée,accablé,31
et,et,82
morne,morne,30
/.,/.,P
par,par,81
enchantement,enchantement,21
",",",",p
les,le,71
ténèbres,ténèbre,22
se,se,51
dissipaient,dissiper,18
;,;,p
une,un,71
tristesse,tristesse,22
charmante,charmant,30
",",",",p
une,un,71
désolation,désolation,22
en,en,81
quelque,quelque,75
sorte,sorte,22
alanguie,alangui,31
",",",",p
coulaient,couler,18
dans,dans,81
ses,son,73
pensées,pensée,22
",",",",p
et,et,82
il,il,51
méditait,méditer,18
longuement,longuement,60
devant,devant,81
cette,ce,74
oeuvre,oeuvre,22
qui,qui,52
mettait,mettre,18
",",",",p
avec,avec,81
ses,son,73
points,point,21
de,de,81
gouache,gouache,22
",",",",p
semés,semé,31
dans,dans,81
le,le,71
crayon,crayon,21
gras,gras,30
",",",",p
une,un,71
clarté,clarté,22
de,de,81
vert,vert,21
d',de,81
eau,eau,22
et,et,82
d',de,81
or,or,21
pâle,pâle,30
",",",",p
parmi,parmi,81
la,le,71
noirceur,noirceur,22
ininterrompue,ininterrompu,30
de,de,81
ces,ce,74
fusains,fusain,21
et,et,82
de,de,81
ces,ce,74
estampes,estampe,22
/.,/.,P
en,en,81
outre,outre,81
de,de,81
cette,ce,74
série,série,22
des,de,81
des,le,71
ouvrages,ouvrage,21
de,de,81
Redon,Redon,20
",",",",p
garnissant,garnir,13
presque,presque,60
tous,tout,75
les,le,71
panneaux,panneau,21
du,de,81
du,le,71
vestibule,vestibule,21
",",",",p
il,il,51
avait,avoir,18
pendu,pendre,12
dans,dans,81
sa,son,73
chambre,chambre,22
à,à,81
coucher,coucher,14
",",",",p
une,un,71
ébauche,ébauche,22
désordonnée,désordonné,30
de,de,81
Théocopuli,Théocopuli,20
",",",",p
un,un,71
Christ,Christ,20
aux,à,81
aux,le,71
teintes,teinte,22
singulières,singulier,30
",",",",p
d',de,81
un,un,71
dessin,dessin,21
exagéré,exagéré,31
",",",",p
d',de,81
une,un,71
