11188
<Corpus Saint-Jean (Dominique Labbé et Jacques Savoy 2017) - Douzième extrait>,<>,<>
le,le,71
rêve,rêve,21
est,être,17
une,un,71
seconde,second,72
vie,vie,22
/.,/.,P
je,je,51
n',ne,60
ai,avoir,17
pu,pouvoir,12
percer,percer,14
sans,sans,81
frémir,frémir,14
ces,ce,74
portes,porte,22
d',de,81
ivoire,ivoire,21
ou,ou,82
de,de,81
corne,corne,22
qui,qui,52
nous,nous,51
séparent,séparer,17
du,de,81
du,le,71
monde,monde,21
invisible,invisible,30
/.,/.,P
les,le,71
premiers,premier,72
instants,instant,21
du,de,81
du,le,71
sommeil,sommeil,21
sont,être,17
l',le,71
image,image,22
de,de,81
la,le,71
mort,mort,22
;,;,p
un,un,71
engourdissement,engourdissement,21
nébuleux,nébuleux,30
saisit,saisir,17
notre,notre,73
pensée,pensée,22
",",",",p
et,et,82
nous,nous,51
ne,ne,60
pouvons,pouvoir,17
déterminer,déterminer,14
l',le,71
instant,instant,21
précis,précis,30
où,où,60
le,le,71
moi,moi,51
",",",",p
sous,sous,81
une,un,71
autre,autre,75
forme,forme,22
",",",",p
continue,continuer,17
l',le,71
oeuvre,oeuvre,22
de,de,81
l',le,71
existence,existence,22
/.,/.,P
c',ce,52
est,être,17
un,un,71
souterrain,souterrain,21
vague,vague,30
qui,qui,52
s',se,51
éclaire,éclairer,17
peu,peu,60
à,à,81
peu,peu,60
",",",",p
et,et,82
où,où,60
se,se,51
dégagent,dégager,17
de,de,81
l',le,71
ombre,ombre,22
et,et,82
de,de,81
la,le,71
nuit,nuit,22
les,le,71
pâles,pâle,30
figures,figure,22
gravement,gravement,60
immobiles,immobile,30
qui,qui,52
habitent,habiter,17
le,le,71
séjour,séjour,21
des,de,81
des,le,71
limbes,limbe,22
/.,/.,P
puis,puis,60
le,le,71
tableau,tableau,21
se,se,51
forme,former,17
",",",",p
une,un,71
clarté,clarté,22
nouvelle,nouveau,30
illumine,illuminer,17
et,et,82
fait,faire,17
jouer,jouer,14
ces,ce,74
apparitions,apparition,22
bizarres,bizarre,30
:,:,p
-,-,p
le,le,71
monde,monde,21
des,de,81
des,le,71
esprits,esprit,21
s',se,51
ouvre,ouvrir,17
pour,pour,81
nous,nous,51
/.,/.,P
Swedenborg,Swedenborg,20
appelait,appeler,18
ces,ce,74
visions,vision,22
Memorabilia,Memorabilia,20
;,;,p
il,il,51
les,le,52
devait,devoir,18
à,à,81
la,le,71
rêverie,rêverie,22
plus,plus,60
souvent,souvent,60
qu',que,83
au,à,81
au,le,71
sommeil,sommeil,21
;,;,p
l',le,71
âne,âne,21
d',de,81
or,or,21
d',de,81
Apulée,Apulée,20
",",",",p
la,le,71
Divine Comédie,Divine Comédie,20
du,de,81
du,le,71
Dante,Dante,20
",",",",p
sont,être,17
les,le,71
modelés,modelé,21
poétiques,poétique,30
de,de,81
ces,ce,74
études,étude,22
de,de,81
l',le,71
âme,âme,22
humaine,humain,30
/.,/.,P
je,je,51
vais,aller,17
essayer,essayer,14
",",",",p
à,à,81
leur,leur,73
exemple,exemple,21
",",",",p
de,de,81
transcrire,transcrire,14
les,le,71
impressions,impression,22
d',de,81
une,un,71
longue,long,30
maladie,maladie,22
qui,qui,52
s',se,51
est,être,17
passée,passer,12
tout,tout,60
entière,entier,30
dans,dans,81
les,le,71
mystères,mystère,21
de,de,81
mon,mon,73
esprit,esprit,21
;,;,p
-,-,p
et,et,82
je,je,51
ne,ne,60
sais,savoir,17
pourquoi,pourquoi,60
je,je,51
me,je,51
sers,servir,17
de,de,81
ce,ce,74
terme,terme,21
de,de,81
maladie,maladie,22
",",",",p
car,car,82
jamais,jamais,60
",",",",p
quant,quand,83
à,à,81
ce,ce,52
qui,qui,52
est,être,17
de,de,81
moi-même,moi-même,51
",",",",p
je,je,51
ne,ne,60
me,je,51
suis,être,17
senti,sentir,12
mieux,mieux,60
pourtant,pourtant,60
/.,/.,P
parfois,parfois,60
je,je,51
croyais,croire,18
ma,mon,73
force,force,22
et,et,82
mon,mon,73
activité,activité,22
doublées,doublé,31
;,;,p
il,il,51
me,je,51
semblait,sembler,18
tout,tout,52
savoir,savoir,14
",",",",p
tout,tout,52
comprendre,comprendre,14
;,;,p
l',le,71
imagination,imagination,22
m',je,51
apportait,apporter,18
des,de,81
des,le,71
délices,délice,21
infinies,infini,30
/.,/.,P
en,en,81
recouvrant,recouvrer,13
ce,ce,52
que,que,52
les,le,71
hommes,homme,21
appellent,appeler,17
la,le,71
raison,raison,22
",",",",p
faudra,falloir,15
t,t,94
il,il,51
regretter,regretter,14
de,de,81
les,le,52
avoir,avoir,14
perdues,perdre,12
/?,/?,P
cette,ce,74
vita,vita,92
nuova,nuova,92
a,avoir,17
eu,avoir,12
pour,pour,81
moi,moi,51
deux,deux,72
phases,phase,22
/.,/.,P
voici,voici,81
les,le,71
notes,note,22
qui,qui,52
se,se,51
rapportent,rapporter,17
à,à,81
la,le,71
première,premier,72
/.,/.,P
-,-,p
une,un,71
dame,dame,22
que,que,52
j',je,51
avais,avoir,18
aimée,aimer,12
longtemps,longtemps,60
et,et,82
que,que,52
j',je,51
appellerai,appeler,15
du,de,81
du,le,71
nom,nom,21
d',de,81
Aurélia,Aurélia,20
",",",",p
était,être,18
perdue,perdre,12
pour,pour,81
moi,moi,51
/.,/.,P
peu,peu,60
importent,importer,17
les,le,71
circonstances,circonstance,22
de,de,81
cet,ce,74
événement,événement,21
qui,qui,52
devait,devoir,18
avoir,avoir,14
une,un,71
si,si,60
grande,grand,30
influence,influence,22
sur,sur,81
ma,mon,73
vie,vie,22
/.,/.,P
chacun,chacun,52
peut,pouvoir,17
chercher,chercher,14
dans,dans,81
ses,son,73
souvenirs,souvenir,21
l',le,71
émotion,émotion,22
la,le,71
plus,plus,60
navrante,navrant,30
",",",",p
le,le,71
coup,coup,21
le,le,71
plus,plus,60
terrible,terrible,30
frappé,frappé,31
sur,sur,81
l',le,71
âme,âme,22
par,par,81
le,le,71
destin,destin,21
;,;,p
il,il,51
faut,falloir,17
alors,alors,60
se,se,51
résoudre,résoudre,14
à,à,81
mourir,mourir,14
ou,ou,82
à,à,81
vivre,vivre,14
:,:,p
-,-,p
je,je,51
dirai,dire,15
plus,plus,60
tard,tard,60
pourquoi,pourquoi,60
je,je,51
n',ne,60
ai,avoir,17
pas,pas,60
choisi,choisir,12
la,le,71
mort,mort,22
/.,/.,P
condamné,condamné,31
par,par,81
celle,celui,52
que,que,52
j',je,51
aimais,aimer,18
",",",",p
coupable,coupable,30
d',de,81
une,un,71
faute,faute,22
dont,dont,52
